"store","websites","attribute_set","type","category_ids","sku","has_options","name","meta_title","meta_description","image","small_image","thumbnail","url_key","url_path","country_of_manufacture","gift_message_available","price","special_price","weight","msrp","gift_wrapping_price","is_recurring","visibility","description","short_description","meta_keyword","custom_layout_update","special_from_date","special_to_date","news_from_date","news_to_date","custom_design_from","custom_design_to","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","low_stock_date","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","stock_status_changed_automatically","use_config_enable_qty_increments","product_name","store_id","product_type_id","product_status_changed","product_changed_websites","page_layout","options_container","msrp_enabled","msrp_display_actual_price_type","gift_wrapping_available","parcelas","status","tax_class_id","custom_design","image_label","small_image_label","thumbnail_label","volume_comprimento","volume_altura","volume_largura"
"admin","base","Default","simple","2,179,234","EN019",0,"Extintor CO2 - BC - PORTÁTIL - 5BC - 6 Kg - EN019",,,"/e/n/en019.jpg","/e/n/en019.jpg","/e/n/en019.jpg","co2-6kg","co2-6kg.html",,"Não","389.0000","369.0000","21.0000",,,"Não","Catálogo, Busca","Extintor portátil com 06 kg de Dióxido de Carbono (CO2). Fabricado a partir de tubo de aço carbono sem costura SAE 1541 - médio Manganês, tratados termicamente por Normalização. 

Com pintura vermelha aplicada por processo eletrostático e rotulação adesiva em vinil transparente. 

Mangote de borracha com reforço em trama de aço e difusor injetado em Polietileno com haste de aterramento.

- Capacidade Extintora: 5BC

- Validade da carga 01 ano.

Especialmente desenvolvido para combate a incêndio sem deixar resíduo.

Acompanhe Nosso Processo de Manutenções Certificado INMETRO
<iframe width=""425"" height=""349"" src=""http://www.youtube.com/embed/7yZC00Ujqdo?rel=0"" frameborder=""0"" allowfullscreen></iframe>","Extintor portátil com 06 kg de Dióxido de Carbono (CO2). Fabricado a partir de tubo de aço carbono sem costura SAE 1541 - médio Manganês, tratados termicamente por Normalização. Com pintura vermelha aplicada por processo eletrostático e rotulação adesiva em vinil transparente. Mangote de borracha com reforço em trama de aço e difusor injetado em Polietileno com haste de aterramento.
",,,"2014-10-20 00:00:00",,,,,,"198.0000","0.0000",1,0,0,1,"0.0000",1,"10000.0000",1,1,,"0.0000",1,1,1,0,1,"0.0000",1,0,0,0,1,"Extintor CO2 - BC - PORTÁTIL - 5BC - 6 Kg - EN019",0,"simple",,,"Nenhuma atualização de disposição (layout)","Bloco após Coluna de Informações","Use config","Use config","Não",6,"Ativado","Ativado","Nenhum","","","","","","",""
"admin","base","Default","simple",2,"t001",0,"teste",,,"/e/n/t001.jpg","/e/n/t001.jpg","/e/n/t001.jpg","teste","teste.html"," ","Não","150.0000",,"0.5000",,,"Não","Catálogo, Busca","teste","teste",,,,,,,,,"0.0000","0.0000",1,0,0,1,"1.0000",1,"0.0000",1,0,"2014-10-20 12:09:44","0.0000",1,0,0,1,1,"0.0000",1,0,0,1,1,"teste",0,"simple",,,,,,,,,,,,,,,,,
"admin","base","Default","simple",,"t01",0,"Produto Teste",,,"/e/n/t01.jpg","/e/n/t01.jpg","/e/n/t01.jpg","produto-teste","produto-teste.html"," ","Não","1.0000",,"3.0000",,,"Não","Não Visível Individualmente","produto teste","teste",,,,,,,,,"48.0000","0.0000",1,0,0,1,"1.0000",1,"0.0000",1,1,,"1.0000",0,0,1,0,1,"0.0000",1,0,0,0,1,"Produto Teste",0,"simple",,,,,,,,,,,,,,,,,
"admin","base","Default","simple","2,351,352","PS001",0,"Placa Fotoluminescente Extintor - Modelo Universal - PS001",,,"/e/n/PS001.jpg","/e/n/PS001.jpg","/e/n/PS001.jpg","produto-252","produto-252.html",,"Não","8.0000","5.0000","0.3000",,,"Não","Catálogo, Busca","Placa fotoluminescente para identificação de extintores de incêndio - Modelo Universal.

Durabilidade: - Uso Interno: 24 meses;  - Uso Externo: 12 meses;

Disponível nas medidas de: 19 x 19 cm; 30 x 30 cm

Material: PVC Fotoluminescente
","Placa fotoluminescente para identificação de extintores de incêndio - Modelo Universal.

Durabilidade: - Uso Interno: 24 meses;  - Uso Externo: 12 meses;

Disponível nas medidas de: 19 x 19 cm; 30 x 30 cm

Material: PVC Fotoluminescente
","placa; fotoluminescente; extintor;",,"2014-10-20 00:00:00",,,,,,"509.0000","0.0000",1,0,0,1,"1.0000",1,"1000.0000",0,1,,"0.0000",1,1,1,0,1,"0.0000",1,0,0,0,1,"Placa Fotoluminescente Extintor - Modelo Universal - PS001",0,"simple",,,"Nenhuma atualização de disposição (layout)","Bloco após Coluna de Informações","Use config","Use config","Não",6,"Ativado","Ativado","Nenhum","","","","","","",""
"admin","base","Default","simple","2,352","PS002",0,"Placa para Abrigo de Mangueira - PS002",,,"/e/n/PS002.jpg","/e/n/PS002.jpg","/e/n/PS002.jpg","produto-253","produto-253.html",,"Não","8.0000","5.0000","0.3000",,,"Não","Catálogo, Busca","Placas fotoluminescente de identificação de equipamentos. 

Durabilidade: - Uso Interno: 24 meses; - Uso Externo: 12 meses;

Disponível nas medidas: 19 x 19 cm; 30 x 30 cm;

Material: PVC Fotoluminescente","Placas fotoluminescente de identificação de equipamentos. 

Durabilidade: - Uso Interno: 24 meses; - Uso Externo: 12 meses;

Disponível nas medidas: 19 x 19 cm; 30 x 30 cm;

Material: PVC Fotoluminescente","Placa; hidrante; fotoluminescente;",,"2014-10-20 00:00:00",,,,,,"945.0000","0.0000",1,0,0,1,"1.0000",1,"1000.0000",0,1,,"0.0000",1,1,1,0,1,"0.0000",1,0,0,0,1,"Placa para Abrigo de Mangueira - PS002",0,"simple",,,"Nenhuma atualização de disposição (layout)","Bloco após Coluna de Informações","Use config","Use config","Não",6,"Ativado","Ativado","Nenhum","","","","","","",""
"admin","base","Default","simple","2,353","PS004",0,"Placa Fotoluminescente Saída de Emergência - Medida 12 x 24 cm - PS004",,,"/e/n/PS004.jpg","/e/n/PS004.jpg","/e/n/PS004.jpg","produto-255","produto-255.html",,"Não","8.0000","5.0000","1.1000",,,"Não","Catálogo, Busca","Placas fotoluminescente para identificação de saídas de emergência.

Durabilidade: - Uso Interno: 24 meses; - Uso Externo: 12 meses;

Medidas: 12 x 24 cm; 19 x 38 cm; 24 x 48 cm;

Material: PVC Fotoluminescente","Placas fotoluminescente para identificação de saídas de emergência.

Durabilidade: - Uso Interno: 24 meses; - Uso Externo: 12 meses;

Medidas: 12 x 24 cm; 19 x 38 cm; 24 x 48 cm;

Material: PVC Fotoluminescente","Placa; saída; fotoluminescente",,"2014-10-20 00:00:00",,,,,,"893.0000","0.0000",1,0,0,1,"1.0000",1,"1000.0000",0,1,,"0.0000",1,1,1,0,1,"0.0000",1,0,0,0,1,"Placa Fotoluminescente Saída de Emergência - Medida 12 x 24 cm - PS004",0,"simple",,,"Nenhuma atualização de disposição (layout)","Bloco após Coluna de Informações","Use config","Use config","Não",6,"Ativado","Ativado","Nenhum","","","","","","",""
"admin","base","Default","simple","2,352","PS154",0,"Placa de Coluna - Extintor (E) - Medida: 30 x 45 cm - PS154",,,"/e/n/PS154.jpg","/e/n/PS154.jpg","/e/n/PS154.jpg","produto-256","produto-256.html",,"Não","24.0000","18.0000","0.3000",,,"Não","Catálogo, Busca","Placa para a utilização em coluna, indicativa de extintor.

Durabilidade: - Uso Interno: 24 meses; - Uso externo: 12 meses;

Medidas: 30 x 45 cm

Material: PVC","Placa para a utilização em coluna, indicativa de extintor.

Durabilidade: - Uso Interno: 24 meses; - Uso externo: 12 meses;

Medidas: 30 x 45 cm

Material: PVC","Placa; coluna; E; extintor",,"2014-10-20 00:00:00",,,,,,"991.0000","0.0000",1,0,0,1,"1.0000",1,"0.0000",1,1,,"0.0000",1,1,1,0,1,"0.0000",1,0,0,0,1,"Placa de Coluna - Extintor (E) - Medida: 30 x 45 cm - PS154",0,"simple",,,"Nenhuma atualização de disposição (layout)","Bloco após Coluna de Informações","Use config","Use config","Não",6,"Ativado","Ativado","Nenhum","","","","","","",""
"admin","base","Default","simple","2,354","PS007",0,"Placa Perigo Inflamável - PS007",,,"/e/n/PS007.jpg","/e/n/PS007.jpg","/e/n/PS007.jpg","produto-257","produto-257.html",,"Não","8.0000","5.0000","0.3000",,,"Não","Catálogo, Busca","Placa indicativa de área de risco pois é inflamável.

Durabilidade: - Uso Interno: 24 meses; - Uso Externo: 12 meses;

Medida: 14 x 19 cm; 19 x 28 cm; 28 x 44 cm;

Material: Chapa de Poliestireno","Placa indicativa de área de risco pois é inflamável.

Durabilidade: - Uso Interno: 24 meses; - Uso Externo: 12 meses;

Medida: 14 x 19 cm; 19 x 28 cm; 28 x 44 cm;

Material: Chapa de Poliestireno","placa; perigo; inflamável; área;",,"2014-10-20 00:00:00",,,,,,"999.0000","0.0000",1,0,0,1,"1.0000",1,"1000.0000",0,1,,"0.0000",1,1,1,0,1,"0.0000",1,0,0,0,1,"Placa Perigo Inflamável - PS007",0,"simple",,,"Nenhuma atualização de disposição (layout)","Bloco após Coluna de Informações","Use config","Use config","Não",6,"Ativado","Ativado","Nenhum","","","","","","",""
"admin","base","Default","simple","2,353","PS008",0,"Placa Fotoluminescente Porta Corta Fogo - Manter Fechada - Medida 12 x 24 cm - PS008",,,"/e/n/PS008.jpg","/e/n/PS008.jpg","/e/n/PS008.jpg","produto-258","produto-258.html",,"Não","8.0000","5.0000","0.3000",,,"Não","Catálogo, Busca","Placas fotoluminescente para informações e identificação de porta corta fogo.

Durabilidade: - Uso Interno: 24 meses; - Uso Externo: 12 meses;

Medida: 12 x 24 cm

Material: PVC Fotoluminescente","Placas fotoluminescente para informações e identificação de porta corta fogo.

Durabilidade: - Uso Interno: 24 meses; - Uso Externo: 12 meses;

Medida: 12 x 24 cm

Material: PVC Fotoluminescente","Placa; porta; corta fogo; manter; fechada; fotoluminescente;",,"2014-10-20 00:00:00",,,,,,"922.0000","0.0000",1,0,0,1,"1.0000",1,"1000.0000",0,1,,"0.0000",1,1,1,0,1,"0.0000",1,0,0,0,1,"Placa Fotoluminescente Porta Corta Fogo - Manter Fechada - Medida 12 x 24 cm - PS008",0,"simple",,,"Nenhuma atualização de disposição (layout)","Bloco após Coluna de Informações","Use config","Use config","Não",6,"Ativado","Ativado","Nenhum","","","","","","",""
"admin","base","Default","simple","2,353","PS011",0,"Placa Fotoluminescente Escada Subindo à Direita - PS011",,,"/e/n/PS011.jpg","/e/n/PS011.jpg","/e/n/PS011.jpg","produto-259","produto-259.html",,"Não","8.0000","5.0000","0.3000",,,"Não","Catálogo, Busca","Placas fotoluminescente para identificação de rotas de fugas através de escadaria de emergência.

Durabilidade: - Uso Interno: 24 meses; - Uso Externo: 12 meses;

Disponível nas medidas: 12 x 24 cm; 19 x 38 cm; 24 x 48 cm;

Material: PVC Fotoluminescente","Placas fotoluminescente para identificação de rotas de fugas através de escadaria de emergência.

Durabilidade: - Uso Interno: 24 meses; - Uso Externo: 12 meses;

Disponível nas medidas: 12 x 24 cm; 19 x 38 cm; 24 x 48 cm;

Material: PVC Fotoluminescente","placa, fotoluminescente, direita, subida, subindo,",,"2014-10-20 00:00:00",,,,,,"986.0000","0.0000",1,0,0,1,"1.0000",1,"1000.0000",0,1,,"0.0000",1,1,1,0,1,"0.0000",1,0,0,0,1,"Placa Fotoluminescente Escada Subindo à Direita - PS011",0,"simple",,,"Nenhuma atualização de disposição (layout)","Bloco após Coluna de Informações","Use config","Use config","Não",6,"Ativado","Ativado","Nenhum","","","","","","",""
